run_accession	total_bases	total_spots	isolate	collection_date	geo_loc_name	host	biosample	library_strategy	library_selection	platform	instrument	bioproject	host_category
SRR37041219	671868	1038	T001_OP_NAextract1	2025-02-11	USA: California	Bos taurus	SAMN54967917	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	cattle
SRR37041220	664080	893	T001_OP_NAextract1	2025-02-11	USA: California	Bos taurus	SAMN54967917	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	cattle
SRR37041221	11712415	9359	T001_OP_NAextract1	2025-02-11	USA: California	Bos taurus	SAMN54967917	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	cattle
SRR37041222	3927232	3128	T001_OP_NAextract1	2025-02-11	USA: California	Bos taurus	SAMN54967917	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	cattle
SRR37041223	46779318	58738	T001_AN_NAextract1	2025-02-11	USA: California	Bos taurus	SAMN54967916	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	cattle
SRR37041224	54990423	62126	T001_AN_NAextract1	2025-02-11	USA: California	Bos taurus	SAMN54967916	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	cattle
SRR37041225	3490920	4036	T001_AN_NAextract1	2025-02-11	USA: California	Bos taurus	SAMN54967916	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	cattle
SRR37041226	3851567	3811	T001_AN_NAextract1	2025-02-11	USA: California	Bos taurus	SAMN54967916	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	cattle
SRR37041227	1035047	1133	T012_AN_Naextract	2025-02-07	USA: California	Bos taurus	SAMN54967918	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	cattle
SRR37041228	73014	87	T012_AN_Naextract	2025-02-07	USA: California	Bos taurus	SAMN54967918	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	cattle
SRR37041229	126737	147	T012_AN_Naextract	2025-02-07	USA: California	Bos taurus	SAMN54967918	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	cattle
SRR37041230	15878595	19017	T001_OP_NAextract1	2025-02-11	USA: California	Bos taurus	SAMN54967917	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	cattle
SRR37041231	11823753	13952	T001_OP_NAextract1	2025-02-11	USA: California	Bos taurus	SAMN54967917	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	cattle
SRR37041232	30953722	25347	T001_AN_NAextract1	2025-02-11	USA: California	Bos taurus	SAMN54967916	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	cattle
SRR37041233	32176581	25156	T001_AN_NAextract1	2025-02-11	USA: California	Bos taurus	SAMN54967916	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	cattle
SRR37040741	165906852	179618	CP1_EC36	2025-03-06	USA: California		SAMN54966263	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	unknown
SRR37040742	1579773	1638	EC70	2025-03-09	USA: California		SAMN54966262	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	unknown
SRR37040743	123865727	120303	EC27_BF_CP2	2025-03-04	USA: California		SAMN54966277	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	unknown
SRR37040744	119853537	130860	EC27_AF_CP2	2025-03-04	USA: California		SAMN54966276	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	unknown
SRR37040745	3456252	3836	EC66	2025-03-08	USA: California		SAMN54966261	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	unknown
SRR37040746	183512831	287939	EC27_OA_CP1	2025-03-04	USA: California		SAMN54966275	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	unknown
SRR37040747	126081917	237836	EC27_Pl_1G_CP1	2025-03-04	USA: California		SAMN54966274	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	unknown
SRR37040748	158030349	293077	EC27_Pl_1F_CP1	2025-03-04	USA: California		SAMN54966273	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	unknown
SRR37040749	128061227	239513	EC27_Pl_1E_CP1	2025-03-04	USA: California		SAMN54966272	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	unknown
SRR37040750	155571533	234238	EC27_Pl_1D_CP1	2025-03-04	USA: California		SAMN54966271	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	unknown
SRR37040751	139622994	253808	EC27_Pl_1C_CP1	2025-03-04	USA: California		SAMN54966270	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	unknown
SRR37040752	105960189	148305	EC27_Pl_1B_CP1	2025-03-04	USA: California		SAMN54966269	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	unknown
SRR37040753	128361888	216243	EC27_Pl_1A_CP1	2025-03-04	USA: California		SAMN54966268	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	unknown
SRR37040754	167659589	172243	CP1_EC_71	2025-03-09	USA: California		SAMN54966267	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	unknown
SRR37040755	175715018	171853	CP1_EC70	2025-03-09	USA: California		SAMN54966266	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	unknown
SRR37040756	922667	1091	EC22	2025-03-04	USA: California		SAMN54966260	WGS	RT-PCR	OXFORD_NANOPORE	GridION	PRJNA1416438	unknown
