sample,n_isnv,host_category,median_depth,bioproject
SRR29377915,61,cattle,3223,PRJNA1102327
SRR31605097,60,cattle,559,PRJNA1102327
SRR31605314,51,cattle,907,PRJNA1102327
SRR31821046,53,cattle,2280,PRJNA1102327
SRR31821193,56,cattle,2999,PRJNA1102327
SRR31821207,55,cattle,2459,PRJNA1102327
SRR32973852,55,cattle,1450,PRJNA1102327
SRR32973899,51,cattle,1529,PRJNA1102327
SRR32973961,77,cattle,1532,PRJNA1102327
SRR33565417,79,cattle,1510,PRJNA1102327
SRR33565428,59,cattle,996,PRJNA1102327
SRR33565458,54,cattle,7904,PRJNA1102327
SRR33565460,64,cattle,7182,PRJNA1102327
SRR33565461,53,cattle,6530,PRJNA1102327
SRR33565488,64,cattle,8673,PRJNA1102327
SRR33681805,55,cattle,6996,PRJNA1102327
SRR33830382,64,cattle,301,PRJNA1102327
SRR35088952,61,cattle,642,PRJNA1102327
SRR35316971,53,cattle,775,PRJNA1102327
SRR35586567,56,cattle,1140,PRJNA1102327
SRR36114753,52,cattle,1191,PRJNA1102327
SRR36114758,63,cattle,435,PRJNA1102327
SRR36114762,70,cattle,330,PRJNA1102327
SRR36114767,56,cattle,449,PRJNA1102327
SRR36114770,59,cattle,514,PRJNA1102327
SRR36114773,52,cattle,2103,PRJNA1102327
SRR36114774,59,cattle,283,PRJNA1102327
SRR36114779,51,cattle,456,PRJNA1102327
SRR36114782,59,cattle,554,PRJNA1102327
SRR36114791,54,cattle,853,PRJNA1102327
SRR36114796,58,cattle,663,PRJNA1102327
SRR36114797,53,cattle,419,PRJNA1102327
SRR36114812,54,cattle,582,PRJNA1102327
SRR36114815,53,cattle,597,PRJNA1102327
SRR36114821,64,cattle,861,PRJNA1102327
SRR38788367,53,cattle,1156,PRJNA1102327
SRR38788368,54,cattle,807,PRJNA1102327
SRR38788392,52,cattle,3642,PRJNA1102327
